class	atlases	min_psnr	max_mae	alpha_mae	edge_range
banner_guard	16	36.457	0.007474	0.0	0.9871..1.0017
defender	16	41.011	0.00466	0.0	0.9959..1.0004
gunner	16	37.122	0.007228	0.0	0.9749..0.988
immovable	16	39.971	0.005485	0.0	0.9954..0.9997
mage_apprentice	16	36.988	0.007064	0.0	0.99..0.9967
shock_trooper	16	37.822	0.007001	0.0	0.9944..1.0048
sniper	16	36.888	0.007928	0.0	0.9834..1.0008
sorcerer	16	40.409	0.005025	0.0	0.9885..0.9975
sword_saint	16	37.517	0.006558	0.0	0.9904..0.9955
swordmaster	16	37.366	0.007062	0.0	0.9859..1.0013
witch_doctor	16	38.989	0.005721	0.0	0.9956..1.0018
